House Member,District,Party,Office Address,City,Phone Number,Email
Laurie Halverson,51B,DFL,503 State Office Building,"St. Paul, MN 55155",651-296-4128,E-mail:  rep.laurie.halverson@house.mn
Rod Hamilton,22B,R,337 State Office Building,"St. Paul, MN 55155",651-296-5373,E-mail:  rep.rod.hamilton@house.mn
Rick Hansen,52A,DFL,407 State Office Building,"St. Paul, MN 55155",651-296-6828,E-mail:  rep.rick.hansen@house.mn
Hodan Hassan,62A,DFL,531 State Office Building,"St. Paul, MN 55155",651-296-0294,E-mail:  rep.hodan.hassan@house.mn
Alice Hausman,66A,DFL,453 State Office Building,"St. Paul, MN 55155",651-296-3824,E-mail:  rep.alice.hausman@house.mn
John Heinrich,35A,R,211 State Office Building,"St. Paul, MN 55155",651-296-1729,E-mail:  rep.john.heinrich@house.mn
Josh Heintzeman,10A,R,353 State Office Building,"St. Paul, MN 55155",651-296-4333,E-mail:  rep.josh.heintzeman@house.mn
Kaohly Her,64A,DFL,359 State Office Building,"St. Paul, MN 55155",651-296-8799,E-mail:  rep.kaohly.her@house.mn
Jerry Hertaus,33A,R,389 State Office Building,"St. Paul, MN 55155",651-296-9188,E-mail:  rep.jerry.hertaus@house.mn
Frank Hornstein,61A,DFL,545 State Office Building,"St. Paul, MN 55155",651-296-9281,E-mail:  rep.frank.hornstein@house.mn
Melissa Hortman,36B,DFL,463 State Office Building,"St. Paul, MN 55155",651-296-4280,E-mail:  rep.melissa.hortman@house.mn
Michael Howard,50A,DFL,451 State Office Building,"St. Paul, MN 55155",651-296-7158,E-mail:  rep.michael.howard@house.mn
John Huot,57B,DFL,583 State Office Building,"St. Paul, MN 55155",651-296-4306,E-mail:  rep.john.huot@house.mn
Brian Johnson,32A,R,243 State Office Building,"St. Paul, MN 55155",651-296-4346,E-mail:  rep.brian.johnson@house.mn
Tony Jurgens,54B,R,351 State Office Building,"St. Paul, MN 55155",651-296-3135,E-mail:  rep.tony.jurgens@house.mn
Debra Kiel,01B,R,255 State Office Building,"St. Paul, MN 55155",651-296-5091,E-mail:  rep.deb.kiel@house.mn
Ginny Klevorn,44A,DFL,581 State Office Building,"St. Paul, MN 55155",651-296-5511,E-mail:  rep.ginny.klevorn@house.mn
Erin Koegel,37A,DFL,375 State Office Building,"St. Paul, MN 55155",651-296-5369,E-mail:  rep.erin.koegel@house.mn
Carlie Kotyza-Witthuhn,48B,DFL,567 State Office Building,"St. Paul, MN 55155",651-296-7449,E-mail:  rep.carlie.kotyza-witthuhn@house.mn
Jon Koznick,58A,R,229 State Office Building,"St. Paul, MN 55155",651-296-6926,E-mail:  rep.jon.koznick@house.mn
Ron Kresha,09B,R,207 State Office Building,"St. Paul, MN 55155",651-296-4247,E-mail:  rep.ron.kresha@house.mn
Mary Kunesh-Podein,41B,DFL,445 State Office Building,"St. Paul, MN 55155",651-296-4331,E-mail:  rep.mary.kuneshpodein@house.mn
Sandy Layman,05B,R,233 State Office Building,"St. Paul, MN 55155",651-296-4936,E-mail:  rep.sandy.layman@house.mn
Fue Lee,59A,DFL,485 State Office Building,"St. Paul, MN 55155",651-296-4262,E-mail:  rep.fue.lee@house.mn
John Lesch,66B,DFL,563 State Office Building,"St. Paul, MN 55155",651-296-4224,E-mail:  rep.john.lesch@house.mn
Tina Liebling,26A,DFL,477 State Office Building,"St. Paul, MN 55155",651-296-0573,E-mail:  rep.tina.liebling@house.mn
Ben Lien,04A,DFL,415 State Office Building,"St. Paul, MN 55155",651-296-5515,E-mail:  rep.ben.lien@house.mn
Leon Lillie,43B,DFL,367 State Office Building,"St. Paul, MN 55155",651-296-1188,E-mail:  rep.leon.lillie@house.mn
Todd Lippert,20B,DFL,523 State Office Building,"St. Paul, MN 55155",651-296-0171,E-mail:  rep.todd.lippert@house.mn
Dave Lislegard,06B,DFL,413 State Office Building,"St. Paul, MN 55155",651-296-0170,E-mail:  rep.dave.lislegard@house.mn
Diane Loeffler,60A,DFL,553 State Office Building,"St. Paul, MN 55155",651-296-4219,E-mail:  rep.diane.loeffler@house.mn
Jamie Long,61B,DFL,517 State Office Building,"St. Paul, MN 55155",651-296-5375,E-mail:  rep.jamie.long@house.mn
Eric Lucero,30B,R,221 State Office Building,"St. Paul, MN 55155",651-296-1534,E-mail:  rep.eric.lucero@house.mn
Dale Lueck,10B,R,311 State Office Building,"St. Paul, MN 55155",651-296-2365,E-mail:  rep.dale.lueck@house.mn
Tim Mahoney,67A,DFL,365 State Office Building,"St. Paul, MN 55155",651-296-4277,E-mail:  rep.tim.mahoney@house.mn
Alice Mann,56B,DFL,507 State Office Building,"St. Paul, MN 55155",651-296-5387,E-mail:  rep.alice.mann@house.mn
Carlos Mariani,65B,DFL,381 State Office Building,"St. Paul, MN 55155",651-296-9714,E-mail:  rep.carlos.mariani@house.mn
Paul Marquart,04B,DFL,597 State Office Building,"St. Paul, MN 55155",651-296-6829,E-mail:  rep.paul.marquart@house.mn
Sandra Masin,51A,DFL,543 State Office Building,"St. Paul, MN 55155",651-296-3533,E-mail:  rep.sandra.masin@house.mn
Joe McDonald,29A,R,241 State Office Building,"St. Paul, MN 55155",651-296-4336,E-mail:  rep.joe.mcdonald@house.mn
Shane Mekeland,15B,R,215 State Office Building,"St. Paul, MN 55155",651-296-2451,E-mail:  rep.shane.mekeland@house.mn
Tim Miller,17A,R,329 State Office Building,"St. Paul, MN 55155",651-296-4228,E-mail:  rep.tim.miller@house.mn
Kelly Moller,42A,DFL,569 State Office Building,"St. Paul, MN 55155",651-296-0141,E-mail:  rep.kelly.moller@house.mn
Rena Moran,65A,DFL,575 State Office Building,"St. Paul, MN 55155",651-296-5158,E-mail:  rep.rena.moran@house.mn
Kelly Morrison,33B,DFL,429 State Office Building,"St. Paul, MN 55155",651-296-4315,E-mail:  rep.kelly.morrison@house.mn
Jeremy Munson,23B,R,323 State Office Building,"St. Paul, MN 55155",651-296-4240,E-mail:  rep.jeremy.munson@house.mn
Mary Murphy,03B,DFL,343 State Office Building,"St. Paul, MN 55155",651-296-2676,E-mail:  rep.mary.murphy@house.mn
Jim Nash,47A,R,349 State Office Building,"St. Paul, MN 55155",651-296-4282,E-mail:  rep.jim.nash@house.mn
Michael V. Nelson,40A,DFL,585 State Office Building,"St. Paul, MN 55155",651-296-3751,E-mail:  rep.michael.nelson@house.mn
Nathan Nelson,11B,R,393 State Office Building,"St. Paul, MN 55155",651-296-0518,E-mail:  rep.nathan.nelson@house.mn
Anne Neu,32B,R,261 State Office Building,"St. Paul, MN 55155",651-296-5377,E-mail:  rep.anne.neu@house.mn
Mohamud Noor,60B,DFL,379 State Office Building,"St. Paul, MN 55155",651-296-4257,E-mail:  rep.mohamud.noor@house.mn
Bud Nornes,08A,R,281 State Office Building,"St. Paul, MN 55155",651-296-4946,E-mail:  rep.bud.nornes@house.mn
Tim O'Driscoll,13B,R,237 State Office Building,"St. Paul, MN 55155",651-296-7808,E-mail:  rep.tim.odriscoll@house.mn
Liz Olson,07B,DFL,471 State Office Building,"St. Paul, MN 55155",651-296-4246,E-mail:  rep.liz.olson@house.mn
Marion O'Neill,29B,R,357 State Office Building,"St. Paul, MN 55155",651-296-5063,E-mail:  rep.marion.oneill@house.mn
Gene Pelowski Jr.,28A,DFL,491 State Office Building,"St. Paul, MN 55155",651-296-8637,E-mail:  rep.gene.pelowski@house.mn
John Persell,05A,DFL,437 State Office Building,"St. Paul, MN 55155",651-296-5516,E-mail:  rep.john.persell@house.mn
John Petersburg,24A,R,217 State Office Building,"St. Paul, MN 55155",651-296-5368,E-mail:  rep.john.petersburg@house.mn
Nels Pierson,26B,R,345 State Office Building,"St. Paul, MN 55155",651-296-4378,E-mail:  rep.nels.pierson@house.mn
Dave Pinto,64B,DFL,439 State Office Building,"St. Paul, MN 55155",651-296-4199,E-mail:  rep.dave.pinto@house.mn
Jeanne Poppe,27B,DFL,487 State Office Building,"St. Paul, MN 55155",651-296-4193,E-mail:  rep.jeanne.poppe@house.mn
John Poston,09A,R,317 State Office Building,"St. Paul, MN 55155",651-296-4293,E-mail:  rep.john.poston@house.mn
Laurie Pryor,48A,DFL,571 State Office Building,"St. Paul, MN 55155",651-296-3964,E-mail:  rep.laurie.pryor@house.mn
Duane Quam,25A,R,247 State Office Building,"St. Paul, MN 55155",651-296-9236,E-mail:  rep.duane.quam@house.mn
Ruth Richardson,52B,DFL,403 State Office Building,"St. Paul, MN 55155",651-296-4192,E-mail:  rep.ruth.richardson@house.mn
Kristin Robbins,34A,R,225 State Office Building,"St. Paul, MN 55155",651-296-7806,E-mail:  rep.kristin.robbins@house.mn
Linda Runbeck,38A,R,253 State Office Building,"St. Paul, MN 55155",651-296-2907,E-mail:  rep.linda.runbeck@house.mn
Steve Sandell,53B,DFL,521 State Office Building,"St. Paul, MN 55155",651-296-1147,E-mail:  rep.steve.sandell@house.mn
Julie Sandstede,06A,DFL,411 State Office Building,"St. Paul, MN 55155",651-296-0172,E-mail:  rep.julie.sandstede@house.mn
Duane Sauke,25B,DFL,593 State Office Building,"St. Paul, MN 55155",651-296-9249,E-mail:  rep.duane.sauke@house.mn
Joe Schomacker,22A,R,209 State Office Building,"St. Paul, MN 55155",651-296-5505,E-mail:  rep.joe.schomacker@house.mn
Jennifer Schultz,07A,DFL,473 State Office Building,"St. Paul, MN 55155",651-296-2228,E-mail:  rep.jennifer.schultz@house.mn
Peggy Scott,35B,R,335 State Office Building,"St. Paul, MN 55155",651-296-4231,E-mail:  rep.peggy.scott@house.mn
Zack Stephenson,36A,DFL,371 State Office Building,"St. Paul, MN 55155",651-296-5513,E-mail:  rep.zack.stephenson@house.mn
Mike Sundin,11A,DFL,417 State Office Building,"St. Paul, MN 55155",651-296-4308,E-mail:  rep.mike.sundin@house.mn
Chris Swedzinski,16A,R,245 State Office Building,"St. Paul, MN 55155",651-296-5374,E-mail:  rep.chris.swedzinski@house.mn
Brad Tabke,55A,DFL,377 State Office Building,"St. Paul, MN 55155",651-296-8872,E-mail:  rep.brad.tabke@house.mn
Tama Theis,14A,R,201 State Office Building,"St. Paul, MN 55155",651-296-6316,E-mail:  rep.tama.theis@house.mn
Paul Torkelson,16B,R,251 State Office Building,"St. Paul, MN 55155",651-296-9303,E-mail:  rep.paul.torkelson@house.mn
Dean Urdahl,18A,R,279 State Office Building,"St. Paul, MN 55155",651-296-4344,E-mail:  rep.dean.urdahl@house.mn
Samantha Vang,40B,DFL,527 State Office Building,"St. Paul, MN 55155",651-296-3709,E-mail:  rep.samantha.vang@house.mn
Bob Vogel,20A,R,213 State Office Building,"St. Paul, MN 55155",651-296-7065,E-mail:  rep.bob.vogel@house.mn
Jean Wagenius,63B,DFL,449 State Office Building,"St. Paul, MN 55155",651-296-4200,E-mail:  rep.jean.wagenius@house.mn
Ami Wazlawik,38B,DFL,565 State Office Building,"St. Paul, MN 55155",651-296-3018,E-mail:  rep.ami.wazlawik@house.mn
Nolan West,37B,R,331 State Office Building,"St. Paul, MN 55155",651-296-4226,E-mail:  rep.nolan.west@house.mn
Ryan Winkler,46A,DFL,459 State Office Building,"St. Paul, MN 55155",651-296-7026,E-mail:  rep.ryan.winkler@house.mn
Dan Wolgamott,14B,DFL,401 State Office Building,"St. Paul, MN 55155",651-296-6612,E-mail:  rep.dan.wolgamott@house.mn
Jay Xiong,67B,DFL,423 State Office Building,"St. Paul, MN 55155",651-296-4201,E-mail:  rep.jay.xiong@house.mn
Tou Xiong,53A,DFL,533 State Office Building,"St. Paul, MN 55155",651-296-7807,E-mail:  rep.tou.xiong@house.mn
Cheryl Youakim,46B,DFL,591 State Office Building,"St. Paul, MN 55155",651-296-9889,E-mail:  rep.cheryl.youakim@house.mn
Nick Zerwas,30A,R,301 State Office Building,"St. Paul, MN 55155",651-296-4237,E-mail:  rep.nick.zerwas@house.mn
Melissa Hortman,36B,DFL,Speaker of the House,,,
Ryan Winkler,46A,DFL,Majority Leader,,,
Liz Olson,07B,DFL,Majority Whip,,,
Jamie Becker-Finn,42B,DFL,Assistant Majority Leader,,,
Hodan Hassan,62A,DFL,Assistant Majority Leader,,,
Mary Kunesh-Podein,41B,DFL,Assistant Majority Leader,,,
Fue Lee,59A,DFL,Assistant Majority Leader,,,
Jamie Long,61B,DFL,Assistant Majority Leader,,,
Julie Sandstede,06A,DFL,Assistant Majority Leader,,,
Kurt Daudt,31A,R,Minority Leader,,,
Anne Neu,32B,R,Deputy Minority Leader,,,
Tony Albright,55B,R,Assistant Minority Leader,,,
Peggy Bennett,27A,R,Assistant Minority Leader,,,
Josh Heintzeman,10A,R,Assistant Minority Leader,,,
Jon Koznick,58A,R,Assistant Minority Leader,,,
Jim Nash,47A,R,Assistant Minority Leader,,,
Peggy Scott,35B,R,Assistant Minority Leader,,,
Dan Fabian,01A,R,Minority Whip,,,
